Feature	Number of Genes	Genes
cytoplasm	17	ADGRV1, CASP1, CELSR2, DCANP1, DCDC1, DICER1, DTWD2, DTX4, FZD3, LIX1L, PASK, PPIAL4E, PPIAL4G, PRSS37, SMTNL1, SOCS1, TAFA5
membrane	16	ADGRV1, CACNG2, CASP1, CELSR1, CELSR2, CELSR3, CHRM5, DCHS1, FAT1, FAT3, FAT4, FREM2, FZD3, LAG3, PCDH20, PCDH7
plasma membrane	16	ADGRV1, CACNG2, CASP1, CELSR1, CELSR2, CELSR3, CHRM5, FAT1, FAT3, FAT4, FREM2, FZD3, HPSE2, LAG3, PCDH20, PCDH7
nucleus	14	C2CD4A, C2CD4B, CC2D1B, DCANP1, DICER1, DTWD2, FAT1, PASK, PRSS37, RBPJL, SMTNL1, SOCS1, SPATA4, SSX6P
cell membrane	13	ADGRV1, CASP1, CELSR1, CELSR2, CELSR3, CHRM5, DCHS1, FAT1, FREM2, FZD3, LAG3, PCDH20, PCDH7
secreted	12	ADAMTS13, CMA1, COL20A1, HPSE2, IFNE, INSL4, LAG3, NXPH2, PRSS37, TAFA5, UCN3, XCL1
calcium ion binding	11	ADAMTS13, ADGRV1, CELSR1, CELSR2, CELSR3, DCHS1, FAT1, FAT3, FAT4, PCDH20, PCDH7
extracellular space	10	ADAMTS13, CASP1, CMA1, COL20A1, HPSE2, IFNE, INSL4, TAFA5, UCN3, XCL1
cytosol	9	C16orf46, CACNG2, CASP1, CMA1, DICER1, DTX4, PASK, SOCS1, XYLB
homophilic cell adhesion via plasma membrane adhesion molecules	9	CELSR1, CELSR2, CELSR3, DCHS1, FAT1, FAT3, FAT4, PCDH20, PCDH7
Disease variant	8	ADAMTS13, CACNG2, CELSR1, DCHS1, DICER1, FAT4, FREM2, SOCS1
cell-cell adhesion	7	ADGRV1, CELSR1, CELSR2, CELSR3, FAT1, FAT3, FAT4
nucleoplasm	7	C16orf46, C2CD4A, CC2D1B, CELSR1, DCANP1, DTX4, SOCS1
extracellular region	7	CMA1, COL20A1, LAG3, NXPH2, PRSS37, UCN3, XCL1
extracellular exosome	5	ADGRV1, DICER1, FAT1, FAT4, FREM2
